Column1,sslccode,talukcode,schoolname,address1,address2,address3,address4,pincode,management,urban,taluk,dist
7807,SS0173,SS02,SRI MANIKPRABHU HIGH SCHOOL,LADWANTHI BASAVAKALYAN TQ,BIDAR DISTRICT,,,NA,A,R,BASAVAKALYAN,BIDAR
7808,SS0180,SS02,VEERABHADRESHWARA HIGH SCHOOL,HULASOORA  BASAVAKALYAN TQ,BIDAR DISTRICT,,,NA,U,R,BASAVAKALYAN,BIDAR
7809,SS0186,SS04,RURAL HIGH SCHOOL,SINDOLA,BIDAR DISTRICT,,,NA,A,R,BIDAR,BIDAR
7810,SS0259,SS01,KEDARESHWAR HIGH SCHOOL,AURAD(B),"BIDAR DIST.,",,,NA,A,U,AURAD,BIDAR
7811,SS0264,SS04,DATTAGIRI MAHARAJ HIGH SCHOOL,BASAVANAGAR,BIDAR DISTRICT,,,NA,U,U,BIDAR,BIDAR
7812,TT0002,TT01,GOVT JUNIOR COLLEGE FOR GIRLS,BALLARI,BALLARI DISTRICT,,,583101,G,U,BELLARY,BELLARY
7813,TT0008,TT07,GOVERNMENT HIGH SCHOOL,"TEKKALAKOTA, SIRAGUPPA TALUK",BALLARI DISTRICT,,,583122,G,U,SIRUGUPPA,BELLARY
7814,TT0015,TT01,WARDLAW COMPOSITE JUNIOR COLLEGE,BALLARI,BALLARI DISTRICT,,,583101,A,U,BELLARY,BELLARY
7815,TT0085,TT06,SRI UJJAINI JAGADGURU SIDDESWARA H S,"YESHWANTHANAGAR, SANDUR TALUK",BALLARI DISTRICT,,,583124,A,R,SANDUR,BELLARY
7816,TT0093,TT04,GOVERNMENT HIGH SCHOOL,"MANYARA MASALAWAD, HADAGALLI TALUK",BALLARI DISTRICT,,,583216,G,R,HADAGALI,BELLARY
7817,TT0101,TT08,SRI JAGADGURU PANCHACHARYA HIGH SCHOOL,"GUGGARAHATTI,BALLARI",BALLARI DISTRICT,,,583102,A,U,BELLARY,BELLARY
7818,TT0168,TT05,SMT.BORAMMA THAMMAPPA SMARAKA HS,KUDLIGI  BALLARI DISTRICT,BALLARI DISTRICT,,,583135,U,R,KUDLIGI,BELLARY
7819,TT0175,TT02,SRI GURU SHIVASHANTHAVEERA HIGH SCHOOL,KADALABALU HAGARIBOMMANAHALLI POST,BALLARI DISTRICT,,,583212,A,R,HAGARIBOMMANAHALLI,BELLARY
7820,AN0559,AN01,SHANTI DHAMA K.M. HIGH SHOOL,"SUNKADA KATTE MAGADI ROAD ,BENGALURU",,,,NA,U,U,NORTH1,BANGALORE U NORTH
7821,BB0016,BB01,NIVEITHA VIDYANIKETHANA GIRLS HIGH SCHOOL,"DEVANAHALLI,",,,,NA,U,U,DEVANAHALLI,BANGALORE RURAL
7822,BB0111,BB03,"GIRIJAMBA HIGH SCHOOL,","KOLATHURU, HOSAKOTE TALUK",,,,NA,U,R,HOSAKOTE,BANGALORE RURAL
7823,FF0304,FF07,"SIDDRAMMA LINGESHWARA HIGH SCHOOL,",SRI YOGISWARA MUTT BABY BETTA,PANDAVAPURA TALUK,MANDYA DISTRICT,,NA,U,R,PANDAVAPURA,MANDYA
7824,GG0141,GG05,MUKTHIPRAKASH HIGH SCHOOL,NEERUDE MOODBIDRE.TALUK,D K DISTRICT,,,574163,A,R,NA,DAKSHINA KANNADA
