,Block_Name,Year,Marks1,Marks2,Marks3,Marks4,Marks5,Marks6,Total,Dist_Name,Rural_Urban,No_of_Working_Days,No_of_Acad_Inspection,School_Dev_Grant_Recd,School_Dev_Grant_Expnd,TLM_Grant_Recd,TLM_Grant_Expnd,Tot_Clrooms,Toilet_Girls,Electricity,Library,PlayGround,Male_Tch,Female_Tch,Graduate_Teachers,Tch_with_Prof_Qual,Days_involved_in_non_tch_assgn,Teachers_involved_in_non_tch_assgn,Public,Split
1058,SAGAR,2009,77.37209302,44.02325581,51.81395349,37.44186047,44.93023256,53.51162791,308.9534884,SHIMOGA,0.875690608,219.5718232,0.124309392,7013.812155,6931.348066,1404.030387,1368.494475,3.552486188,0.961325967,0.919889503,0.839779006,0.591160221,1.345303867,18.24309392,17.42265193,19.5801105,2.541436464,0.350828729,0.908839779,0
1059,SAGAR,2010,82.90909091,45.25,53.68181818,44.22727273,48.06818182,48.34090909,322.5227273,SHIMOGA,0.871232877,0,0.191780822,7016.438356,6847.934247,1087.134247,1025.246575,3.690410959,0.975342466,0.931506849,0.706849315,0.583561644,1.282191781,1.701369863,0.01369863,0.035616438,0.945205479,0.232876712,0.890410959,0
1060,SAGAR,2011,79.61363636,46.77272727,56.38636364,48.72727273,44.54545455,55.34090909,331.3636364,SHIMOGA,0.851219512,0,0.2,7960.97561,7713.641463,1359.331707,1254.156098,3.834146341,0.97804878,0.946341463,0.948780488,0.604878049,18.72926829,18.88536585,18.66341463,20.55853659,17.05609756,29150315482,0.875609756,0
1061,SAGAR,2012,80.78723404,44.46808511,55.14893617,41.68085106,44.5106383,48.5106383,315.0851064,SHIMOGA,0.863013699,0,0.232876712,7057.534247,6854.794521,1348.361644,1250.767123,3.698630137,1,0.947945205,0.95890411,0.578082192,1.279452055,1.731506849,0.032876712,3.010958904,0,0,0.890410959,0
1062,SAGAR,2013,81.57446809,NA,60.27659574,43.0212766,46.55319149,56.38297872,336.4042553,SHIMOGA,0.859504132,0,0.614325069,6920.110193,6820.936639,1312.683196,1280.666667,3.732782369,1,0.950413223,0.958677686,0.573002755,1.355371901,1.796143251,0.121212121,3.140495868,0,0,0.895316804,0
1063,SANDUR,2005,67.82421149,42.65006682,58.94689554,45.93320688,48.83766269,59.47194232,323.6639857,BELLARY,0.878453039,101.2928177,0.834254144,3573.779006,2098.104972,4917.40884,3051.486188,5.248618785,1,0.458563536,0.784530387,0.38121547,2.64640884,1.883977901,12.17679558,3.972375691,0,0,0.845303867,0
1064,SANDUR,2006,71.54362872,38.88050366,45.08956151,53.99630904,41.24398709,50.65033272,301.5328999,BELLARY,0.880434783,221.9945652,0.755434783,2570.652174,1958.98913,1850.543478,1437.5,5.190217391,1,0.47826087,0.782608696,0.380434783,2.673913043,2.005434783,1.75,4.679347826,1.119565217,0.097826087,0.836956522,0
1065,SANDUR,2007,62.55115635,33.23553147,42.35143091,33.34269234,38.38146205,42.89082125,252.7530944,BELLARY,0.872340426,214.5106383,0.60106383,2446.808511,1615.425532,1547.87234,1335.106383,5.367021277,1,0.462765957,0.781914894,0.382978723,2.728723404,2.085106383,1.569148936,4.813829787,0,0,0.840425532,0
1066,SANDUR,2008,68.12022822,38.99887219,44.73765151,46.79181205,49.49764814,52.54879976,300.6950119,BELLARY,0.867346939,218.0204082,0.474489796,2846.938776,2827.270408,1334.183673,1339.285714,5.892857143,1,0.770408163,0.56122449,0.408163265,2.62755102,2.510204082,1.586734694,5.030612245,4.37244898,0.734693878,0.836734694,0
1067,SANDUR,2009,66.6875,37.09375,42.625,36.625,42.84375,48.28125,274.15625,BELLARY,0.865284974,225.0051813,0.958549223,10879.58031,9409.683938,1839.974093,1785.569948,6.077720207,0.699481865,0.797927461,0.735751295,0.424870466,2.699481865,13.02072539,12.26943005,15.60621762,2.07253886,0.010362694,0.834196891,0
1068,SANDUR,2010,70.82857143,39.65714286,47.88571429,50.05714286,44.17142857,46.54285714,299.2,BELLARY,0.87254902,0,0.529411765,7112.745098,6921.333333,1590.034314,1371.897059,6.259803922,0.421568627,0.823529412,0.838235294,0.426470588,2.642156863,2.568627451,0.681372549,0.892156863,3.651960784,0.098039216,0.81372549,0
1069,SANDUR,2011,70.51282051,46.20512821,50.84615385,53.20512821,45.1025641,56.61538462,322.6666667,BELLARY,0.85042735,0,0.858974359,15760.59402,11410.76068,2257.162393,1876.820513,6.196581197,0.94017094,0.918803419,0.97008547,0.482905983,7.252136752,7.08974359,6.576923077,9.700854701,4.269230769,29120704164,0.803418803,0
1070,SANDUR,2012,71.71428571,42.38095238,48.69047619,47.30952381,46.38095238,53.11904762,309.5952381,BELLARY,0.845410628,4.826086957,6.420289855,8737.033816,8663.347826,1742.719807,1726.294686,6.555555556,0.980676329,0.961352657,0.975845411,0.458937198,2.61352657,2.811594203,1.270531401,5.323671498,0.014492754,0.014492754,0.792270531,0
1071,SANDUR,2013,71.28888889,NA,54.17777778,48.11111111,46.77777778,56.95555556,326.2888889,BELLARY,0.871921182,0,1.527093596,9038.940887,8597.507389,2131.921182,2087.586207,6.78817734,1,0.975369458,0.995073892,0.463054187,2.620689655,2.81773399,2.197044335,5.310344828,0.004926108,0.004926108,0.807881773,0
1072,SAVANUR,2005,71.47602439,37.35842167,54.20983349,40.29022214,48.00747824,54.7771701,306.11915,HAVERI,0.886956522,99.77391304,0.252173913,3170.408696,2122.591304,3737.852174,1700.843478,5.052173913,1,0.939130435,0.817391304,0.652173913,3.356521739,1.304347826,1.617391304,4.626086957,0,0,0.930434783,0
1073,SAVANUR,2006,65.60295154,38.77219048,49.08272138,40.50370022,47.27156095,63.49101788,304.7405554,HAVERI,0.890756303,228.2521008,1.411764706,3193.277311,2172.10084,1550.117647,1387.394958,5.168067227,1,0.932773109,0.81512605,0.647058824,3.268907563,1.25210084,1.655462185,4.521008403,0,0,0.924369748,0
1074,SAVANUR,2007,79.30550868,38.01154298,51.59945709,34.22825956,54.76616339,50.6693977,308.5803294,HAVERI,0.885245902,214.7540984,0.737704918,3029.286885,1514.52459,1502.204918,1248.147541,5.237704918,1,0.909836066,0.795081967,0.631147541,3.270491803,1.516393443,1.581967213,4.786885246,0,0,0.918032787,0
1075,SAVANUR,2008,68.94815094,35.31227453,49.00753516,38.74945077,44.44171997,54.86274769,291.3218791,HAVERI,0.848,214.248,0.896,8142.376,7688.048,971.352,957.424,5.2,1,0.984,0.312,0.656,3.304,1.864,2.312,4.72,15.992,1.808,0.912,0
1076,SAVANUR,2009,71.92592593,36.55555556,44.14814815,34,43.62962963,44.55555556,274.962963,HAVERI,0.841269841,227.3888889,1.396825397,15931.96032,9177.873016,2046.68254,1188.746032,5.547619048,0.69047619,0.857142857,0.698412698,0.682539683,3.404761905,1.841269841,2.126984127,5.214285714,6.007936508,1.095238095,0.920634921,0
1077,SAVANUR,2010,70.92592593,39.88888889,53.92592593,45.18518519,50.48148148,48.11111111,308,HAVERI,0.833333333,0,0.96969697,8840.234848,8324.113636,2274.090909,2402.151515,6.265151515,0.954545455,1,0.856060606,0.75,3.272727273,2.143939394,0.212121212,0.234848485,24.20454545,1.75,0.893939394,0
1078,SAVANUR,2011,69.44444444,38.55555556,48.22222222,47.25925926,45.2962963,53.14814815,301.9259259,HAVERI,0.807228916,0,1.114457831,11508.43373,9642.620482,2623.204819,2496.987952,5.897590361,1,0.987951807,0.93373494,0.644578313,9.391566265,8.198795181,8.710843373,11.56024096,11.18674699,29111604380,0.861445783,0
